model,granularity,query,rank,relevance_score,chunk_id,parent_chunk_id,source,text_preview
all-mpnet-base-v2,2048,Environmental impact of strip mining,9,1,chunk-209053cd0210b383,,GEOG-502.pdf,"fundamentals of natural resource management uttarakhand open university unit 7 - resources depletion; soil, water, mineral, forests page 150 of 297 so"
all-mpnet-base-v2,2048,Environmental impact of strip mining,10,1,chunk-8f7e5a5752239af1,,CHAPTER 2.pdf,"soil, irregular rainfall, changing weather patterns and floods. construction of roads on hilly slopes, have not only undermined their stability, but a"
all-mpnet-base-v2,2048,What are rare earth elements?,1,1,chunk-e6aabbfcd28e2295,,Geography of Natural Resource and Management course code GeEs1019.pdf,. native elements: the elements group includes over one hundred known minerals. many of the minerals in this class are composed of only one element. g
all-mpnet-base-v2,2048,What are rare earth elements?,2,0,chunk-6eaa36aec5252f9b,,Geography of Natural Resource and Management course code GeEs1019.pdf,department of geography &environmental studies geography of natural resource management page 52 most silicate minerals formed when molten rock cools a
all-mpnet-base-v2,2048,What are rare earth elements?,3,0,chunk-7b419f02b117affd,,Geography of Natural Resource and Management course code GeEs1019.pdf,department of geography &environmental studies geography of natural resource management page 51 7.3. major types of rock-forming minerals over 2000 mi
all-mpnet-base-v2,2048,What are rare earth elements?,4,0,chunk-07025bf85d279dcd,,Geography of Natural Resource and Management course code GeEs1019.pdf,department of geography &environmental studies geography of natural resource management page 48 7.1 meaning of a mineral unit seven 7. mineral resourc
all-mpnet-base-v2,2048,What are rare earth elements?,5,0,chunk-8d04686b060b7bbf,,Geography of Natural Resource and Management course code GeEs1019.pdf,department of geography &environmental studies geography of natural resource management page 53  graphite – pencil lead and dry lubricants v. halides
all-mpnet-base-v2,2048,What are rare earth elements?,6,0,chunk-30fa9d3af59b0fe4,,Natural_Resources_India_wiki.pptx,". sillimanite refractory bricks are used in steel, glass and petrochemical industries.[104] in 2004, india produced 14,500 tonnes of sillimanite and 6"
all-mpnet-base-v2,2048,What are rare earth elements?,7,0,chunk-25a6b44dba816a22,,CHAPTER 2.pdf,". mineral resources are non renewable and include metals (e.g. iron, copper, and aluminum) and non-metals (e.g. salt, gypsum, clay, sand, phosphates)."
all-mpnet-base-v2,2048,What are rare earth elements?,8,0,chunk-026571c3529ea8a8,,Geography of Natural Resource and Management course code GeEs1019.pdf,.  while natural fibers grown by mineral fertilizer and synthetic fibers made from minerals are used for making cloths. some minerals are used for o
all-mpnet-base-v2,2048,What are rare earth elements?,9,0,chunk-697a38300ada9d6e,,Geography of Natural Resource and Management course code GeEs1019.pdf,". (large crystals) ii. color – even though it is least reliable, color is an excellent diagnostic property for minerals such as sulfur. iii. streak – "
all-mpnet-base-v2,2048,What are rare earth elements?,10,0,chunk-66dbef0b01f03f34,,Natural_Resources_India_wiki.pptx,". the types of zinc ores include sulfide, carbonate, silicate and oxide.[91] zinc is used in galvanisation, batteries, electrical goods and equipment,"
all-mpnet-base-v2,2048,Process of hydraulic fracturing,1,1,chunk-4bb6933c21b5c726,,Geography of Natural Resource and Management course code GeEs1019.pdf,". v. floods and siltation: - sedimentation, which is a quick built up of river and stream beds with coarse materials that cannot readily transported f"
all-mpnet-base-v2,2048,Process of hydraulic fracturing,2,1,chunk-f5e1ba2ed6c07d6d,,CHAPTER 2.pdf,". the waste flows towards a big tank of “bag dara”. due to scarcity of water, people are compelled to use this effluent for irrigation purpose. the bl"
all-mpnet-base-v2,2048,Process of hydraulic fracturing,3,0,chunk-8fc8dee98474ecb8,,GEOG-502.pdf,. the stress areas of these plate boundaries release huge amount of cumulated energy due to rupturing or slipping. the zones of stress caused by movem
all-mpnet-base-v2,2048,Process of hydraulic fracturing,4,1,chunk-0a4a09682e156b8d,,GEOG-502.pdf,fundamentals of natural resource management uttarakhand open university unit 4: natural hazards and risk management page 88 of 297 fig4.4 source: prep
all-mpnet-base-v2,2048,Process of hydraulic fracturing,5,1,chunk-89055aa4895a31b5,,GEOG-502.pdf,fundamentals of natural resource management uttarakhand open university unit 4: natural hazards and risk management page 87 of 297 b) translational la
all-mpnet-base-v2,2048,Process of hydraulic fracturing,6,1,chunk-833efbb210e04104,,CHAPTER 2.pdf,6.\ breeding of vectors and vector-borne diseases 7.\ reservoir induced seismicity (ris) causes earthquakes 8.\ navigation and aquaculture activities 
all-mpnet-base-v2,2048,Process of hydraulic fracturing,7,0,chunk-847fda8bc6a13565,,Geography of Natural Resource and Management course code GeEs1019.pdf,department of geography &environmental studies geography of natural resource management page 54 vi. cleavage – it is the tendency of some minerals to 
all-mpnet-base-v2,2048,Process of hydraulic fracturing,8,1,chunk-cb7f036a065288dc,,GEOG-502.pdf,fundamentals of natural resource management uttarakhand open university unit 4: natural hazards and risk management page 89 of 297 f) lateral spreads:
all-mpnet-base-v2,2048,Process of hydraulic fracturing,9,1,chunk-2e148e9ef5592665,,GEOG-502.pdf,fundamentals of natural resource management uttarakhand open university unit 4: natural hazards and risk management page 86 of 297 natural hazards and
all-mpnet-base-v2,2048,Process of hydraulic fracturing,10,1,chunk-18d2a74f585b895e,,GEOG-502.pdf,". in this stage activities such as search operations, rescue measures, providing medical aid, safe drinking water and food, rehabilitation of people a"
all-mpnet-base-v2,2048,What is geothermal energy?,1,1,chunk-2837caf88e0a39f9,,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,"(1) hydel energy india has a total hydro energy potential of about 1.5 lakh mw, of which only about 20 % is installed. small hydro plant potential is "
all-mpnet-base-v2,2048,What is geothermal energy?,2,1,chunk-63e301456012655e,,CHAPTER 2.pdf,(i)wind energy it is an effective source of energy in areas where the velocity of wind flow is high. wind energy harnesses the power of the wind to pr
all-mpnet-base-v2,2048,What is geothermal energy?,3,1,chunk-60efe4bac61732be,,CHAPTER 2.pdf,• geothermal plant is self– sufficient (energy wise) • they are small and has little effect on landscape • cost is less disadvantages: • if constructe
all-mpnet-base-v2,2048,What is geothermal energy?,4,1,chunk-cb801e92bd6c0e5d,,Natural_Resources_Future_Learn.docx,". together with geothermal energy (heat from the earth’s interior), the sun’s perpetual energy powers the winds, ocean currents, precipitation and mos"
all-mpnet-base-v2,2048,What is geothermal energy?,5,1,chunk-0cf9d2b6849339cf,,GEOG-502.pdf,"fundamentals of natural resource management uttarakhand open university unit 1 - definition, nature and classification of resources page 9 of 297 sola"
all-mpnet-base-v2,2048,What is geothermal energy?,6,1,chunk-16918514e8a1db3f,,Natural_Resources_Future_Learn.docx,"what are natural resources? natural resources are the raw materials and sources of energy that we use. petrol, metals, soil, sand, wind, water, and ev"
all-mpnet-base-v2,2048,What is geothermal energy?,7,1,chunk-6888cd3228cba66c,,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,. a heat engine gives greater efficiency and power when run with a large temperature difference. in the oceans the temperature difference between surf
all-mpnet-base-v2,2048,What is geothermal energy?,8,0,chunk-cddf5252729f53e5,,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,". ✓ wind energy ✓ hydropower, tidal energy, ocean thermal energy, geothermal energy, biomass, biogas, biofuels etc. • the non renewable energy sources"
all-mpnet-base-v2,2048,What is geothermal energy?,9,1,chunk-63b065469642b380,,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,• maintenance of these structures is difficult. • it requires more space. • energy supply is unpredictable during natural calamities. growing energy n
all-mpnet-base-v2,2048,What is geothermal energy?,10,0,chunk-90f5f2b668c2fc1c,,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,". the main features of this policy are • accelerated exploitation of domestic conventional energy resources, viz., oil, coal, hydro and nuclear power;"
BAAI/bge-base-en-v1.5,128,What is bauxite used for?,1,1,chunk-665d86118a6fd8a2,chunk-adc70335c546d496,GEOG-502.pdf,".  aluminum: bauxite reserves are in australia, guinea, brazil, china, and india. 3"
BAAI/bge-base-en-v1.5,128,What is bauxite used for?,2,0,chunk-e39d6292ad7284b9,chunk-972e347e73d40c46,GEOG-502.pdf,".  bauxite: found in states like odisha, gujarat, and maharashtra"
BAAI/bge-base-en-v1.5,128,What is bauxite used for?,3,0,chunk-c1a71a36e2e0a634,chunk-e22322f44cd182d3,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,"of copper, chromites, bauxite and magnetite"
BAAI/bge-base-en-v1.5,128,What is bauxite used for?,4,0,chunk-305c39f60b9ce9f2,chunk-3ebb2efb91f7011e,Geography of Natural Resource and Management course code GeEs1019.pdf,. most minerals are used to make things
BAAI/bge-base-en-v1.5,128,What is bauxite used for?,5,0,chunk-d16a04b3f8242af4,chunk-c572e209a33e4cc7,Natural_Resources_India_wiki.pptx,". it is used in refractories, foundry dressings, pesticides, ceramics and rubber"
BAAI/bge-base-en-v1.5,128,What is bauxite used for?,6,0,chunk-4dfab4d43a054f09,chunk-6d0c69e143c0ce62,Natural_Resources_India_wiki.pptx,". it is used as a semi-precious stone and also in abrasives, sand blasting, water filtration materials and water jet cutting"
BAAI/bge-base-en-v1.5,128,What is bauxite used for?,7,0,chunk-23692dcc32a6a8fd,chunk-19d7eb678ebadf35,GEOG-502.pdf,". industrial applications: minerals are used in a wide range of industrial applications, including construction, electronics,"
BAAI/bge-base-en-v1.5,128,What is bauxite used for?,8,0,chunk-d4b3d14961c1ee37,chunk-81205c8444e786e9,Natural_Resources_India_wiki.pptx,". other than construction, it is used in paint and agricultural lime."
BAAI/bge-base-en-v1.5,128,What is bauxite used for?,9,0,chunk-f0e6fc50062c8fa8,chunk-2b532b129879744a,Natural_Resources_India_wiki.pptx,. it is also used as a substitute for short-fibre asbestos in brake-linings
BAAI/bge-base-en-v1.5,128,What is bauxite used for?,10,0,chunk-a3993cfb20a90804,chunk-5c275aaf67177de1,Natural_Resources_India_wiki.pptx,. these are mainly used in building constructions.[51] environmental impact of mining these minerals was significant over a
BAAI/bge-base-en-v1.5,128,Environmental impact of strip mining,1,0,chunk-9482307a25181976,chunk-ccee37976be8e64a,GEOG-502.pdf,environmental impacts of mining activities
BAAI/bge-base-en-v1.5,128,Environmental impact of strip mining,2,0,chunk-a01123832af8f3c3,chunk-de61153eba3ac438,GEOG-502.pdf,environmental and social impacts of mining and other mineral-related activities
BAAI/bge-base-en-v1.5,128,Environmental impact of strip mining,3,0,chunk-63b129e5ff3bd5c8,chunk-ccee37976be8e64a,GEOG-502.pdf,environmental risks associated with the mining operation
BAAI/bge-base-en-v1.5,128,Environmental impact of strip mining,4,0,chunk-0581a119592a5b38,chunk-f92262fbdca6daa4,GEOG-502.pdf,". mining operations can lead to the degradation of land and water resources, loss of biodiversity, and deforestation"
BAAI/bge-base-en-v1.5,128,Environmental impact of strip mining,5,1,chunk-ffa875f6e2314bb4,chunk-887f1b4599d6ffdc,GEOG-502.pdf,". mining and processing of these resources can have negative environmental impacts, such as soil erosion and water pollution"
BAAI/bge-base-en-v1.5,128,Environmental impact of strip mining,6,0,chunk-b14f1bc7676eb35f,chunk-2c4833db1eef9a1f,Geography of Natural Resource and Management course code GeEs1019.pdf,. 7.6. environmental impacts of mining activities the following are some of the impacts and problems of mining processes.
BAAI/bge-base-en-v1.5,128,Environmental impact of strip mining,7,0,chunk-30bc58c12ed967b9,chunk-b450bb3b4e6ec49e,GEOG-502.pdf,"mineral, forests page 166 of 297 ""the environmental impacts of resource depletion."" united nations environment programme,"
BAAI/bge-base-en-v1.5,128,Environmental impact of strip mining,8,1,chunk-cbc9641e7d6a10cd,chunk-068d2c0b45e01b6d,Geography of Natural Resource and Management course code GeEs1019.pdf,". physical changes and pollution of land, soil, water and air associated with mining operations, directly or indirectly affects"
BAAI/bge-base-en-v1.5,128,Environmental impact of strip mining,9,0,chunk-bd7c3e367bb59b51,chunk-ac3a42ec04b90589,GEOG-502.pdf,impacts of mineral extraction
BAAI/bge-base-en-v1.5,128,Environmental impact of strip mining,10,0,chunk-e7b47448bba9a295,chunk-ccee37976be8e64a,GEOG-502.pdf,. environmental impact assessment of mining activities: geographical appraisal is also applied to assess the environmental
BAAI/bge-base-en-v1.5,128,What are rare earth elements?,1,0,chunk-c3a97974b4b39407,chunk-693bfb09b81f8036,Natural_Resources_wiki.txt,". these include land, water, air, rare-earth elements, and heavy metals including ores, such as gold, iron, copper, silver, etc"
BAAI/bge-base-en-v1.5,128,What are rare earth elements?,2,0,chunk-1c1c00e81c9de7de,chunk-eb2ed4e471b68f25,GEOG-502.pdf,"mineral, forests page 149 of 297 minerals such as lithium and rare earth elements are used in the production of batteries and"
BAAI/bge-base-en-v1.5,128,What are rare earth elements?,3,0,chunk-aa5da84d956dbc4a,chunk-ac9cffcb2c2b50c6,GEOG-502.pdf,". for example, the use of nanotechnology can reduce the demand for rare earth elements"
BAAI/bge-base-en-v1.5,128,What are rare earth elements?,4,0,chunk-670dcf06446e53df,chunk-429d8b76024c088c,Natural_Resources_Future_Learn.docx,". other non-renewable resources include metals, lithium and rare-earth elements (ree’s), but it’s important to remember that"
BAAI/bge-base-en-v1.5,128,What are rare earth elements?,5,0,chunk-e6e522cb1eb6aa0a,chunk-e4ed4435b4e230c8,GEOG-502.pdf,"elements like heavy metals (e.g., lead, cadmium, arsenic) and metalloids (e.g., selenium, antimony)"
BAAI/bge-base-en-v1.5,128,What are rare earth elements?,6,0,chunk-92abd05a4590f0e0,chunk-177f117c5183c262,Natural_Resources_wiki.txt,"to obtain the resource such as metal ores, rare-earth elements, petroleum, timber and most forms of energy"
BAAI/bge-base-en-v1.5,128,What are rare earth elements?,7,0,chunk-31788a35d97de88b,chunk-b3cbb5e809c3aabe,Geography of Natural Resource and Management course code GeEs1019.pdf,of element that have specific crystalline structure or orderly arrangements of atoms
BAAI/bge-base-en-v1.5,128,What are rare earth elements?,8,0,chunk-c18004033c80158e,chunk-9a7a8861d7e68d6f,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,". metals (iron, copper, gold, silver, lead, zinc etc.), minerals and salts (carbonates, phosphates, nitrates etc.)"
BAAI/bge-base-en-v1.5,128,What are rare earth elements?,9,0,chunk-65e642bb0cb96403,chunk-e4ed4435b4e230c8,GEOG-502.pdf,various chemical elements present in land resources
BAAI/bge-base-en-v1.5,128,What are rare earth elements?,10,0,chunk-f12eadb2f3756a58,chunk-c9a78f1c7bdb498e,Geography of Natural Resource and Management course code GeEs1019.pdf,. native elements: the elements group includes over one hundred known minerals
BAAI/bge-base-en-v1.5,128,Process of hydraulic fracturing,1,0,chunk-85fe003df0baebcc,chunk-06d2e6e851889c40,GEOG-502.pdf,processes
BAAI/bge-base-en-v1.5,128,Process of hydraulic fracturing,2,0,chunk-54cceb29e3234076,chunk-00f3691669b5cb49,GEOG-502.pdf,during the mining process
BAAI/bge-base-en-v1.5,128,Process of hydraulic fracturing,3,0,chunk-d0f5cb7165ef103d,chunk-ee0b3a3885bfe04c,GEOG-502.pdf,processes in natural resource management
BAAI/bge-base-en-v1.5,128,Process of hydraulic fracturing,4,1,chunk-4040484cbfd19113,chunk-695483f776d4efeb,Geography of Natural Resource and Management course code GeEs1019.pdf,and processes involved in soil formation
BAAI/bge-base-en-v1.5,128,Process of hydraulic fracturing,5,0,chunk-9d2ceda2bf156421,chunk-3defd1ed62f4174e,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,in industrial processes
BAAI/bge-base-en-v1.5,128,Process of hydraulic fracturing,6,0,chunk-3d11d8dc2e702263,chunk-7eb6587b2cc5efe0,GEOG-502.pdf,process of condensation and cloud formation can take place
BAAI/bge-base-en-v1.5,128,Process of hydraulic fracturing,7,0,chunk-98501e1e436caf73,chunk-475d18507e0fbb4b,GEOG-502.pdf,processes and the sustainable conservation of our natural resources
BAAI/bge-base-en-v1.5,128,Process of hydraulic fracturing,8,0,chunk-99c80c53a99e0736,chunk-172ec50053a0ece3,GEOG-502.pdf,and processes related to natural resources and society
BAAI/bge-base-en-v1.5,128,Process of hydraulic fracturing,9,0,chunk-b00721ff591b9258,chunk-3996aac48081a130,CHAPTER 2.pdf,processes acting upon the land
BAAI/bge-base-en-v1.5,128,Process of hydraulic fracturing,10,0,chunk-5ca77b1e2c2a512c,chunk-00f3691669b5cb49,GEOG-502.pdf,energy and resources to extract and process
BAAI/bge-base-en-v1.5,128,What is geothermal energy?,1,1,chunk-efb4af2910f579b1,chunk-1fc38fe6b0f5482a,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,. (3) geothermal energy geothermal energy is thermal energy generated and stored in the earth
BAAI/bge-base-en-v1.5,128,What is geothermal energy?,2,1,chunk-4d45a82f48baf869,chunk-4a75aa736bd175c8,GEOG-502.pdf,". geothermal energy: this is energy derived from the heat of the earth's crust, which can be captured and converted into"
BAAI/bge-base-en-v1.5,128,What is geothermal energy?,3,0,chunk-a8804a439f08db9b,chunk-8df4dbf23be941bd,CHAPTER 2.pdf,. 14. what is geothermal energy? what are its advantages? 15
BAAI/bge-base-en-v1.5,128,What is geothermal energy?,4,0,chunk-e9febec20d05417a,chunk-683b39662ad1e8ed,CHAPTER 2.pdf,. how geothermal energy can be used to generate electricity. what are its advantages and disadvantages?
BAAI/bge-base-en-v1.5,128,What is geothermal energy?,5,0,chunk-2aa95a23850697bd,chunk-4a75aa736bd175c8,GEOG-502.pdf,". geothermal energy is a reliable and stable source of renewable energy, but its use is limited to areas with high geothermal"
BAAI/bge-base-en-v1.5,128,What is geothermal energy?,6,1,chunk-f2e0f2b5bb5f18de,chunk-fc124a33638d6f9f,CHAPTER 2.pdf,produced (iii) geothermal energy geothermal literally means “earth heat”.geothermal energy harnesses the heat energy present
BAAI/bge-base-en-v1.5,128,What is geothermal energy?,7,0,chunk-e928ab9229f21a67,chunk-814a81b4f3bc48a2,CHAPTER 2.pdf,produced (iii) geothermal energy geothermal literally means
BAAI/bge-base-en-v1.5,128,What is geothermal energy?,8,1,chunk-ad37ab46fcf6519e,chunk-930a769c696dda47,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,. earth's geothermal energy originates from the original formation of the planet (20%) and from radioactive decay of minerals
BAAI/bge-base-en-v1.5,128,What is geothermal energy?,9,0,chunk-dbb175614fe993ad,chunk-4a75aa736bd175c8,GEOG-502.pdf,geothermal activity
BAAI/bge-base-en-v1.5,128,What is geothermal energy?,10,0,chunk-e5418c21e70409fe,chunk-46052433c874ef9e,GEOG-502.pdf,"such as wind, solar, hydro, and geothermal power"
BAAI/bge-base-en-v1.5,512,What is bauxite used for?,1,0,chunk-a890f36eb7fe2959,chunk-23ab4d8ad53e1768,GEOG-502.pdf,. mining and related industries provide jobs for millions of people worldwide and are an important source of revenue for many countries. environmental
BAAI/bge-base-en-v1.5,512,What is bauxite used for?,2,1,chunk-f6d2798b6824dd32,chunk-60fe06a606c26e59,CHAPTER 2.pdf,". the use of the mineral depends on its properties. for example, aluminum is light but strong and durable, so it is used for aircraft, shipping and ca"
BAAI/bge-base-en-v1.5,512,What is bauxite used for?,3,0,chunk-81205c8444e786e9,chunk-511bba60cc9729a8,Natural_Resources_India_wiki.pptx,". other than construction, it is used in paint and agricultural lime."
BAAI/bge-base-en-v1.5,512,What is bauxite used for?,4,0,chunk-a257e121ff9265f6,chunk-30fa9d3af59b0fe4,Natural_Resources_India_wiki.pptx,". sillimanite refractory bricks are used in steel, glass and petrochemical industries.[104] in 2004, india produced 14,500 tonnes of sillimanite and 6"
BAAI/bge-base-en-v1.5,512,What is bauxite used for?,5,0,chunk-9f6243b9e780e8a1,chunk-c7da4f4c3fbede1e,GEOG-502.pdf,". for example, minerals such as sand, gravel, and limestone are used in construction materials, while minerals such as copper and aluminium are used i"
BAAI/bge-base-en-v1.5,512,What is bauxite used for?,6,0,chunk-2b532b129879744a,chunk-c182fff5959a3615,Natural_Resources_India_wiki.pptx,. minor amount of deposits are found in gujarat and tamil nadu.[101] it is mainly used in ceramic industries and metallurgical applications. it is als
BAAI/bge-base-en-v1.5,512,What is bauxite used for?,7,0,chunk-6b69e965582a5ab2,chunk-c182fff5959a3615,Natural_Resources_India_wiki.pptx,". granular sillimanite is available in beach sands of south india. sillimanite refractory bricks are used in steel, glass and petrochemical industries"
BAAI/bge-base-en-v1.5,512,What is bauxite used for?,8,0,chunk-4fc7410fe2db65f9,chunk-8d04686b060b7bbf,Geography of Natural Resource and Management course code GeEs1019.pdf,". some common carbonate minerals include calcite, dolomite, and malachite. calcite – used to produce cement and agricultural lime dolomite – used to"
BAAI/bge-base-en-v1.5,512,What is bauxite used for?,9,0,chunk-b9247772844838d8,chunk-c267e4dafa697460,Geography of Natural Resource and Management course code GeEs1019.pdf,".  some minerals such as phosphates, nitrates, potash, and the like, are used for the production of fertilizers.  copper-brass lead, zinc, titanium "
BAAI/bge-base-en-v1.5,512,What is bauxite used for?,10,0,chunk-f97ef775e1d594ca,chunk-833efbb210e04104,CHAPTER 2.pdf,". minerals provide the material used to make most of the things of industrial – based society: roads, cars, computers, fertilizers, etc. demand for mi"
BAAI/bge-base-en-v1.5,512,Environmental impact of strip mining,1,1,chunk-ae0c053f4071dc18,chunk-95e0e1bfbcb77d03,Geography of Natural Resource and Management course code GeEs1019.pdf,". the removals cause changes in topography, result in dumping of wastes in other sites, dust at mines are likely to affect the air resource, even thou"
BAAI/bge-base-en-v1.5,512,Environmental impact of strip mining,2,1,chunk-f92262fbdca6daa4,chunk-c313aeab8879bde4,GEOG-502.pdf,". impact of minerals depletion the depletion of minerals has several impacts on the environment, economy, and society, including: environmental impact"
BAAI/bge-base-en-v1.5,512,Environmental impact of strip mining,3,1,chunk-025c1daa41e84a41,chunk-9696f6177cbc6974,GEOG-502.pdf,". the study evaluated factors such as land cover change, soil erosion, and water quality to identify potential environmental risks associated with the"
BAAI/bge-base-en-v1.5,512,Environmental impact of strip mining,4,1,chunk-8aabd4e5f06bcf4e,chunk-8b2f83ed9788c30d,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,6. mining major effects of mining operations on forest and tribal people are: • mining from shallow deposits is done by surface mining while that from
BAAI/bge-base-en-v1.5,512,Environmental impact of strip mining,5,1,chunk-73bfba818ebdaa79,chunk-b2744f4b06d00fef,CHAPTER 2.pdf,. environmental degradation resulting from mining activity in general can be briefly enumerated as flows: 1.\ air pollution with dust and gases due to
BAAI/bge-base-en-v1.5,512,Environmental impact of strip mining,6,0,chunk-00ecdc7ce9c4d67d,chunk-f9e685267ca6de2c,CHAPTER 2.pdf,. 2.4.2. environmental effects of mineral extraction the scale and level of requirement of minerals have increased manifold in our country and it is h
BAAI/bge-base-en-v1.5,512,Environmental impact of strip mining,7,1,chunk-2b11b298bf37449f,chunk-8f7e5a5752239af1,CHAPTER 2.pdf,. 2.2.5. mining major effects of mining operations on forest and tribal people are: • mining from shallow deposits is done by surface mining while tha
BAAI/bge-base-en-v1.5,512,Environmental impact of strip mining,8,1,chunk-c95bb232b637a6bc,chunk-209053cd0210b383,GEOG-502.pdf,. unsustainable mining practices: many mining practices are environmentally unsustainable and can lead to the depletion of mineral resources. open-pit
BAAI/bge-base-en-v1.5,512,Environmental impact of strip mining,9,0,chunk-5730757cb2fdc5dd,chunk-fd2362dcdf41f2fd,GEOG-502.pdf,". sustainable mining practices: adopting sustainable mining practices that minimize the environmental impacts of mining, such as reducing waste genera"
BAAI/bge-base-en-v1.5,512,Environmental impact of strip mining,10,1,chunk-f53895edabc51b4a,chunk-040d783235f10b4e,Geography of Natural Resource and Management course code GeEs1019.pdf,".  the construction activities and urbanization processes coupled with the mining operations affect local streams through sediments, increased pollut"
BAAI/bge-base-en-v1.5,512,What are rare earth elements?,1,0,chunk-eb2ed4e471b68f25,chunk-23ab4d8ad53e1768,GEOG-502.pdf,"fundamentals of natural resource management uttarakhand open university unit 7 - resources depletion; soil, water, mineral, forests page 149 of 297 mi"
BAAI/bge-base-en-v1.5,512,What are rare earth elements?,2,0,chunk-693bfb09b81f8036,chunk-87d7b74119e772fc,Natural_Resources_wiki.txt,". these include land, water, air, rare-earth elements, and heavy metals including ores, such as gold, iron, copper, silver, etc. stage of development "
BAAI/bge-base-en-v1.5,512,What are rare earth elements?,3,0,chunk-39b5885f456bc950,chunk-6eaa36aec5252f9b,Geography of Natural Resource and Management course code GeEs1019.pdf,. many of them are important economically. they include the following groups of minerals. i. oxides: the oxides are a group of minerals that are compo
BAAI/bge-base-en-v1.5,512,What are rare earth elements?,4,1,chunk-8936f7280b474af1,chunk-e6aabbfcd28e2295,Geography of Natural Resource and Management course code GeEs1019.pdf,. native elements: the elements group includes over one hundred known minerals. many of the minerals in this class are composed of only one element. g
BAAI/bge-base-en-v1.5,512,What are rare earth elements?,5,0,chunk-581890c555d4a4ee,chunk-6eaa36aec5252f9b,Geography of Natural Resource and Management course code GeEs1019.pdf,". some have a metallic luster, some are clear and transparent. some representative oxide minerals include: hematite (ore of iron)- consisting of iron"
BAAI/bge-base-en-v1.5,512,What are rare earth elements?,6,0,chunk-e4ed4435b4e230c8,chunk-c4bee8fb1347feb2,GEOG-502.pdf,". here is a description of the identification of chemical elements and contaminants in the geochemical appraisal, along with references: identificatio"
BAAI/bge-base-en-v1.5,512,What are rare earth elements?,7,0,chunk-3ae05af7f8fa55b0,chunk-833efbb210e04104,CHAPTER 2.pdf,. more than two-thousand minerals have been identified and most of these contain inorganic compounds formed by various combinations of the eight eleme
BAAI/bge-base-en-v1.5,512,What are rare earth elements?,8,0,chunk-9a7a8861d7e68d6f,chunk-8f2417371fdf1a44,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,". uranium, thorium, etc). metals (iron, copper, gold, silver, lead, zinc etc.), minerals and salts (carbonates, phosphates, nitrates etc.). once a non"
BAAI/bge-base-en-v1.5,512,What are rare earth elements?,9,0,chunk-54ff0cf333bec5eb,chunk-31f566c87a9c7801,Natural_Resources_India_wiki.pptx,". metallic minerals metallic minerals are the minerals which contain one or more metallic elements. they occur in rare, naturally formed concentration"
BAAI/bge-base-en-v1.5,512,What are rare earth elements?,10,1,chunk-887f1b4599d6ffdc,chunk-d94260e1b51fc54f,GEOG-502.pdf,". minerals and metals: these include metals like copper, iron, and aluminum, and minerals like gold, silver, and diamonds. they are used in a variety "
BAAI/bge-base-en-v1.5,512,Process of hydraulic fracturing,1,0,chunk-d406e7a85860c4d4,chunk-1cae0524b91c3e8d,GEOG-502.pdf,". for example volcanic eruption and earthquake events are the outcome of some events that take place inside the earth, while events like flood, drough"
BAAI/bge-base-en-v1.5,512,Process of hydraulic fracturing,2,1,chunk-65d64cb3855cd785,chunk-0a4a09682e156b8d,GEOG-502.pdf,. fig. 4.5 (h). fig: 4.5 source: prepared by author d) mud flow: mud flow is a flow of comparatively smaller size materials in which more than 50 perc
BAAI/bge-base-en-v1.5,512,Process of hydraulic fracturing,3,1,chunk-c5501f5871c0c5a6,chunk-ea9eb2fdebc6d048,GEOG-502.pdf,"fundamentals of natural resource management uttarakhand open university unit 7 - resources depletion; soil, water, mineral, forests page 144 of 297 hu"
BAAI/bge-base-en-v1.5,512,Process of hydraulic fracturing,4,0,chunk-4352eb12cbabf604,chunk-209053cd0210b383,GEOG-502.pdf,fundamentals of natural resource management uttarakhand open university unit 4: natural hazards and risk management page 91 of 297 stress. due to occu
BAAI/bge-base-en-v1.5,512,Process of hydraulic fracturing,5,0,chunk-21a98c8842f5b921,chunk-896258bf45c8af05,GEOG-502.pdf,"fundamentals of natural resource management uttarakhand open university unit-2 concept, models and approaches to natural resources management page 42 "
BAAI/bge-base-en-v1.5,512,Process of hydraulic fracturing,6,1,chunk-73bfba818ebdaa79,chunk-b2744f4b06d00fef,CHAPTER 2.pdf,. environmental degradation resulting from mining activity in general can be briefly enumerated as flows: 1.\ air pollution with dust and gases due to
